城市,链接,岗位,工资,公司规模,公司类型,hr活跃表现
广州,https://www.zhipin.com/job_detail/cf30253eae69fec71HJ72du4EltS.html?lid=1ZCNdukdgpJ.search.39&securityId=cjE5dA1YwerD8-h1Sd9ky9-fQwIOrEvg3fDRH6YJURkk-ABBOdgZWLY76pIocuNOc6k-t4ovs5EOiI_TJ9YDZl9DmPrOXJwUyMip5M3DQKCqL3B6jueb&sessionId=,数据分析师,12-16K·14薪,不需要融资,,本周活跃
广州,https://www.zhipin.com/job_detail/28fac6487129af4d1XB-29W1FVNX.html?lid=1ZCNdukdgpJ.search.40&securityId=Qy0T6tOhYpjs5-C1IW8AD_IrDL12haWJFiMNsFkBg8PGxXznJQG4bl-FTizw5DOwTv96vFC7KQPuzlTvYPPDKqSDf6k9l9e5WpflGfHDyPRDcGXf_uRu&sessionId=,数据分析师,12-17K,不需要融资,,半年前活跃
广州,https://www.zhipin.com/job_detail/5a038fb1870d2f391HJy09y-EFJU.html?lid=1ZCNdukdgpJ.search.41&securityId=8JhRZr5tKGaV--n1NvmdK6VaEWhLdwVJoX21Il0Ja-pWl0BijhK6RAdNd3V0m8XGDSAT_WIkEDHRp_MXDbnPyYhTRYOmoW4Idb5utWgn0BPJPOn-&sessionId=,数据分析师,10-15K,未融资,,今日活跃
广州,https://www.zhipin.com/job_detail/2610068689fdee6d1HB93ty0ElpQ.html?lid=1ZCNdukdgpJ.search.42&securityId=4Y0p8QTgjALV5-z1-B8YzirJ-7SUiR4GsceGvWmzajwInAIwG7W338YXKJeYwFQkSO7ZRLFc1E9fJf2N9DVNDe5vQ-J7chS5IOhaqvR1PrPg82ikxH0L&sessionId=,数据分析师,12-15K·14薪,不需要融资,,3月内活跃
广州,https://www.zhipin.com/job_detail/700499845402e6d31XB73t-7EltX.html?lid=1ZCNdukdgpJ.search.43&securityId=bwyzHXWEQkeDV-Z1SDX2xOFYBSeAvwmXeo1Bp__wO46cZb8flIbmkvHMdkf6HGElKV7vXgv4t_a3t2s4jCk8vpxxH0I-7IzeySG4PUEjeGyOH5xrTu4~&sessionId=,数据分析师,11-21K,B轮,,本周活跃
广州,https://www.zhipin.com/job_detail/31d7525e6376986b1nxy3Ny5FFpQ.html?lid=1ZCNdukdgpJ.search.44&securityId=rEqrWb61LjiDH-i12QSoGNu2P5fpuvJDI0575MOY3RfnRWdOzTPPmudGeHOy1AI3nOtRqCtRcUVTCTlyqF3rRXA4QcpJ55hPP2qv3lXzsR7ToT_zFg~~&sessionId=,数据分析师,10-15K,不需要融资,,今日活跃
广州,https://www.zhipin.com/job_detail/c8597c74c5f1e9960nN839W8ElI~.html?lid=1ZCNdukdgpJ.search.45&securityId=NSNEO3YN2mJKn-j1utGCzJbFxXRbLFwRA3GN297YZ6s8pJyrmHAUkMEy99jZdKN0wLKf1XaBydL10cgi3EoMR8FJ7ghDtdnUhHLz41kwT7Y~&sessionId=,数据分析师,7-11K,已上市,,半年前活跃
广州,https://www.zhipin.com/job_detail/3d9d6c8b49aadc6a1nVz09u8EVdS.html?lid=1ZCNdukdgpJ.search.46&securityId=bixDsWhFMLClw-61Fsyb0jsJQvbk0QV3Hfigm52_WPdfOirzQ26kI8BHOS1kpEMiqUiXnp5aXNHboCBYqtjgUAuAI5jLzCF98DzYmNvLwteonJz722Y~&sessionId=,数据分析师,10-11K,20-99人,电子商务,本周活跃
广州,https://www.zhipin.com/job_detail/b3afe133af0d373d3nFy2NS_GFY~.html?lid=1ZCNdukdgpJ.search.47&securityId=acr1mUy4TNMih-j1Gz3X_SiOXnlm1fzPozryXJOZ1GtcB614KowKsxfjdo5qrFTm4ZRLsBcZbR5ii8K7UCiXDVdlzpLMGYf0gmegRxCA7BmZa33TjA~~&sessionId=,数据分析师,10-12K,20-99人,批发/零售,半年前活跃
广州,https://www.zhipin.com/job_detail/aa19b4de64ad92861XZ-3N25ElNQ.html?lid=1ZCNdukdgpJ.search.48&securityId=3YZiZrJcUsI2q-E1X6xDI_LHfeyQA-VXzkAM43B0O9cV_pEQerEODeDPv1mxeqSEve_BJj1_E9_T6YAu5QAcKje2akabvkf7tYjB231aH_JXTWp1Lfk~&sessionId=,数据分析师,13-20K,天使轮,,半年前活跃
广州,https://www.zhipin.com/job_detail/ca902cd84546ca351Xx529y_EVFU.html?lid=1ZCNdukdgpJ.search.49&securityId=M0LsPzK8b1wCB-G1WcvFvVgULhnNezmnrPxhiFjgm2vpLMPHcM-bJ4tmKVVzwMkbSwOn7L67j1wvZ_NlYvucwSildxicuXBErCeL1cUmX44vFvlALyYz&sessionId=,数据分析师,14-20K,未融资,,半年前活跃
广州,https://www.zhipin.com/job_detail/7427ae4fd6f429d01HV_09m1EVpU.html?lid=1ZCNdukdgpJ.search.50&securityId=LL33EcUXJ2QOp-Q1k1xeo0MTD-JhLw_GvmnVjHMLKOrTqbK9IjsJstVM_yFj2u5wK0KPtbAe0MRpNieDjgak1SBTmsISEGZIcJYdNcMFOANsEpSp&sessionId=,数据分析师,8-11K,未融资,,5月内活跃
广州,https://www.zhipin.com/job_detail/fa16986be472a7eb1HZy3Ny5GVVY.html?lid=1ZCNdukdgpJ.search.51&securityId=vyFy-oM6sYnXD-B1VRgs53Xvne9AVaPcbnKsPILkukYz694c-hG4W5k989UO6rp0Ijt4AOnXQCOGzO_uSkwPpFwRvmHIDcgyCEHCBgb7rRFuiuG05wX1&sessionId=,数据分析师,12-24K,不需要融资,,3月内活跃
