mid,sex,vip
355864949,保密,1
548735495,女,0
693141471,保密,0
133678883,男,1
5071995,保密,1
400822226,保密,0
12045634,保密,1
1031803885,保密,1
130140487,女,0
396286205,女,0
178839614,保密,1
488842715,保密,1
2027919476,保密,0
512872707,女,0
21503488,男,1
13250871,保密,1
270645944,保密,1
489661811,保密,0
263734167,保密,0
12092115,女,1
40843269,男,0
60237996,男,0
350792444,保密,0
548634963,保密,0
640156335,保密,1
640156335,保密,1
393768551,保密,1
484408063,女,0
408500718,保密,0
441106159,女,0
46232333,保密,1
1307526840,保密,0
351569460,保密,0
474437193,保密,0
349931443,女,0
59690284,女,1
360433059,保密,0
477178809,男,0
38360111,保密,0
628316190,保密,1
94880815,男,1
338815441,保密,0
400152125,保密,0
381384511,女,0
34533593,女,0
491188938,保密,0
631702437,保密,0
25446082,保密,0
196264556,男,1
651642,保密,1
360235188,男,0
521965454,保密,0
497491782,保密,0
27133124,保密,0
447720705,保密,0
473642540,男,0
2631794,女,1
399055239,男,1
1461293625,男,0
318198411,保密,1
238188801,男,1
168249436,男,0
49521040,保密,1
693425588,男,0
397044064,保密,1
2068145791,男,0
288746963,男,1
378512332,男,0
203498652,保密,0
12477851,男,1
386331172,保密,1
1842856381,保密,1
1912659,保密,1
12156226,男,1
170489658,男,0
122560067,男,0
8276587,保密,1
108671998,男,1
397395082,保密,0
401762941,男,0
34843240,保密,1
382586687,保密,0
1401227239,保密,0
496965864,保密,0
23672345,保密,1
23815085,保密,1
36183930,保密,1
287942490,保密,0
592029091,女,1
284984958,保密,0
349695553,保密,0
26689979,保密,0
549832776,男,0
399449410,女,0
5076630,保密,0
1599079923,女,0
1599079923,女,0
1639611584,保密,0
442598005,保密,0
3169769,男,1
494618281,保密,1
404216381,保密,0
95961277,男,0
384314685,保密,0
448827200,男,1
269126196,男,1
1137495103,保密,0
7907832,女,0
39796644,保密,0
191218037,女,0
646611889,保密,0
452720370,女,0
313359773,保密,0
134373563,保密,0
438188130,男,0
115418720,女,0
1175377378,保密,0
1893090849,女,0
38738818,保密,0
73494257,保密,1
670844738,女,0
390004311,保密,0
34614562,保密,1
362095306,保密,0
769148,保密,1
431032081,男,0
1413612976,保密,0
3705619,男,0
113294585,保密,1
170146905,男,1
514236571,保密,1
28673048,男,1
403249658,保密,0
174724524,男,1
2055401007,保密,1
505085109,男,1
322036412,保密,0
208954735,保密,0
477161589,保密,1
479632003,男,1
91749081,男,0
383402735,保密,0
87646897,女,1
477434632,保密,1
482434220,保密,0
20215049,女,0
397345002,女,0
249164008,保密,1
286138178,保密,0
233254608,保密,0
328017217,女,1
486868337,保密,0
12934591,保密,1
440463229,女,1
372408466,保密,0
28622090,女,1
372408466,保密,0
28622090,女,1
434160101,女,1
437664456,保密,0
2105937452,女,0
380027209,男,1
1479515385,女,1
398938329,男,0
291011846,保密,0
283670301,男,0
44516818,女,0
476401069,保密,0
258010837,女,0
415193519,女,0
178407691,男,1
153489,男,1
285204788,保密,0
383127735,男,1
439068408,男,0
483210090,保密,0
299963425,女,1
256501554,保密,0
1910240167,女,0
1115239532,男,0
3295928,女,1
47766839,保密,0
504427459,保密,0
31225585,女,1
201470352,保密,0
17332857,女,1
18772120,保密,1
399594652,保密,0
617878062,保密,1
177763779,保密,0
1255575610,保密,0
1537005726,保密,0
475040360,男,1
66462505,保密,0
59250280,保密,0
693644302,男,1
59250280,保密,0
693644302,男,1
531241946,男,0
485759425,男,1
391597559,男,0
412890740,保密,0
1244784215,女,0
1820169027,保密,0
388220311,男,0
378905982,保密,1
1418315633,男,1
497944635,保密,1
2427357,保密,0
34611340,女,1
359804831,保密,1
13728614,保密,0
51275404,男,0
1385256266,保密,0
53002151,男,1
238525974,男,1
25728562,男,0
492566974,保密,1
81379996,保密,0
8843875,女,1
640209370,保密,0
688350693,保密,0
492238683,保密,0
1953390318,保密,0
577500070,保密,0
108617685,保密,0
437878755,保密,0
166782416,保密,1
97113500,男,1
179828336,女,1
265713064,女,1
1145290890,保密,0
435606300,保密,1
2051899129,保密,0
204069031,女,1
82651864,男,1
14042914,女,1
506863319,女,0
410017936,保密,0
1237594924,保密,0
34345061,女,0
601031,保密,0
650869340,女,0
494767474,女,0
39922976,女,1
1131514097,男,1
16523875,女,0
269348136,保密,0
1474450947,男,0
1438314654,保密,0
1662347625,保密,1
354386294,保密,0
396878461,男,1
19314159,女,1
404983237,保密,1
188739578,保密,0
188739578,保密,0
333064431,保密,1
456623561,保密,0
442039695,保密,0
1188591597,女,0
33491318,女,0
19419225,女,0
1203243497,保密,0
470393394,女,0
277038254,女,0
2107034514,男,0
2635312,保密,1
498817613,保密,0
37544621,男,1
254618794,男,1
165483017,保密,0
60068387,男,1
33102185,男,1
162965409,保密,0
1093891927,保密,0
502927903,女,0
518956463,保密,0
2061448365,女,0
60173007,男,1
527457291,保密,0
1976247738,保密,0
392519442,保密,0
1408245548,保密,0
332164223,女,1
440525842,保密,0
184789585,保密,0
125839628,保密,0
413013349,女,1
669296849,保密,0
46504709,女,0
446624657,保密,0
44066561,男,1
689654600,保密,0
173523964,保密,0
57803853,保密,0
320012959,保密,0
13114295,女,1
456635148,女,0
519083408,男,0
278097956,男,1
21625722,保密,0
381725243,男,1
89614515,男,0
46876382,男,0
82319313,男,1
92952269,女,1
1608115197,保密,0
34384232,男,1
500127792,男,1
1427752402,保密,0
31498589,男,0
288743186,女,1
361891366,保密,0
15473796,保密,1
670435066,保密,0
395844006,男,0
486146776,女,0
481700989,保密,0
586928263,女,1
662224249,男,0
373094834,保密,0
396384505,保密,0
233103889,保密,1
207241351,保密,1
398804700,男,0
26903964,男,1
25728562,男,0
18890712,女,0
67220400,保密,1
448029821,保密,1
304620568,保密,0
418219604,男,1
1889008004,男,0
32462323,保密,0
38087669,男,1
50011134,保密,1
382449018,保密,1
19120524,保密,1
393606484,保密,0
678734367,保密,0
450960073,女,1
1692897588,保密,0
26272941,保密,1
636902373,男,0
314297408,保密,1
513009895,保密,1
18262739,男,1
32245870,女,0
1842202509,女,0
693425588,男,0
442296144,保密,1
439708258,男,0
1382138422,女,0
17374959,女,1
10746436,男,1
20341780,保密,1
12215618,男,0
1551513169,保密,1
249659296,男,1
498151750,保密,0
480047033,保密,0
1543556,女,1
8903184,保密,0
105411719,男,1
46944134,女,1
21775255,保密,0
53560850,保密,0
1180832187,保密,0
407979500,保密,0
26682299,男,1
381505522,保密,1
98994201,男,1
1699716791,保密,1
35193020,保密,1
99004877,女,1
423824826,女,0
34424188,男,0
671602528,保密,0
385526470,保密,0
1854661786,保密,0
1724364304,女,0
443872168,保密,0
38173112,女,1
27729759,保密,1
1009197629,男,0
14916270,保密,1
1871908483,保密,0
2030938484,保密,0
202453285,女,1
92057659,男,0
7332020,保密,1
5011153,保密,1
28220372,保密,0
33539412,保密,0
21548334,保密,1
588799795,保密,0
470260933,保密,0
382961492,保密,1
29121897,男,1
53560850,保密,0
297998684,男,0
518302526,保密,0
87610260,女,1
25944421,保密,0
2096802450,保密,1
100701346,保密,0
29056243,保密,1
123237730,保密,1
678490570,保密,1
521939609,女,0
54747975,保密,1
344952584,保密,0
178465518,男,0
39294275,保密,0
174897506,保密,1
437249950,男,0
7120777,女,0
444707405,保密,1
396185892,女,0
593607096,男,0
621002210,保密,0
83210315,保密,1
1499418200,男,1
472151813,保密,1
220935829,保密,0
52135266,男,1
456194862,男,1
1562737824,保密,0
369252562,保密,1
1300540014,保密,0
11000174,保密,0
494747875,保密,0
245675923,女,1
1408270486,女,0
294702477,女,0
524823384,保密,1
1076990089,保密,0
240376327,男,1
327030429,保密,1
477257825,男,0
66310333,男,0
475703605,女,0
471198479,女,1
508129052,保密,0
37640573,男,1
4427157,男,1
1267255569,保密,1
431275657,男,0
390506880,保密,1
26737395,保密,1
153369315,男,1
281344947,女,0
1906002576,男,0
273410055,保密,0
16027089,保密,1
474279041,保密,0
64621969,保密,0
401839189,保密,1
505398799,保密,1
433636790,男,0
559635345,女,0
1290314022,保密,0
2066536302,保密,0
79125999,保密,0
1023046889,保密,1
36275472,男,1
509700793,保密,0
590267980,女,0
1673002989,保密,0
568884898,男,1
490560473,男,1
437089941,保密,0
30204418,保密,0
355687424,女,1
475650033,保密,0
64515450,保密,1
483101811,男,0
23574841,保密,1
1643735467,保密,0
515733604,女,0
1425805149,女,0
521269808,男,1
181804948,保密,0
400553469,保密,1
41384113,保密,0
351239425,男,0
51417137,女,0
323642037,保密,1
397599716,保密,0
476031791,女,0
473999059,女,0
1801827745,保密,0
1854867876,保密,0
474200937,男,0
384816010,女,0
395198244,女,0
520801208,保密,1
442484729,男,0
640156335,保密,1
141219789,保密,1
379712764,保密,1
1413835787,男,0
493697970,女,1
300267180,保密,0
501306464,保密,1
693869162,男,0
482013331,保密,0
166315930,保密,1
638461825,保密,0
88204782,保密,0
298014508,保密,0
390355265,女,0
456533309,保密,0
364178113,保密,1
355577975,女,0
364178113,保密,1
355577975,女,0
1910323537,保密,0
660119624,保密,0
599262634,女,1
102740366,保密,0
696899160,保密,0
502699993,保密,0
234531287,女,0
517584836,男,1
437551624,男,0
532593931,保密,0
362839352,女,0
254894279,女,0
1952546709,女,0
1514432987,保密,0
316420669,保密,0
233498038,保密,0
388032189,女,0
637512991,保密,0
1550097419,保密,0
61178875,男,0
628177077,保密,0
392593885,女,0
93583068,女,0
10286455,女,1
109393121,保密,0
33153348,保密,0
402187993,女,0
1010961743,女,0
103307255,保密,0
295511855,保密,1
20634313,女,0
40415105,保密,0
392193663,保密,0
320750483,保密,0
283822602,保密,1
215898535,男,0
384000756,女,1
603267929,男,0
11386870,保密,1
159230594,男,1
11122848,男,1
111173188,女,0
364441961,女,0
351878105,保密,1
43494902,女,1
474138707,保密,0
516676314,保密,0
679576780,男,0
454268616,男,0
20215756,女,1
60053446,男,0
628585995,保密,1
352153740,保密,0
628332697,女,0
9338330,保密,0
695519255,保密,0
499835088,保密,1
339822812,女,0
1570419021,保密,0
2124616507,保密,0
269112517,女,1
516238871,保密,0
383373435,保密,1
150563460,男,1
323573245,女,0
458083461,男,1
93801164,保密,0
351737769,女,0
498575024,保密,0
694848193,保密,0
1085435559,保密,0
162684783,保密,1
519528064,保密,1
1540362444,保密,0
47752569,保密,0
291020454,男,0
441087423,保密,0
646117819,保密,0
384263478,女,0
24039476,男,1
628067309,女,0
1871285192,保密,0
629615273,保密,0
358888068,保密,1
475137403,女,0
580680076,保密,0
284204722,男,1
1943704707,女,0
652289943,女,1
29252682,保密,1
693962043,男,1
1920901767,女,0
606725016,男,1
396567990,保密,0
80671355,女,0
1668227935,保密,0
647029195,女,0
442265883,女,1
383118138,保密,0
509048987,女,0
497540887,保密,0
15353939,女,1
485776481,保密,0
275586530,女,1
33332406,女,1
379431490,保密,1
404463779,保密,0
56963232,保密,1
471028953,女,0
19009224,保密,0
435257447,保密,0
305561568,男,1
8006299,保密,0
1089249293,女,0
95291966,保密,1
1989783912,男,1
494893041,女,0
34125299,女,1
352143294,保密,1
314043327,男,0
385144435,保密,0
287129579,保密,1
29247893,保密,1
396611367,女,0
489397612,保密,0
485772481,保密,1
35695829,保密,1
169521602,男,0
193357311,男,0
90108859,女,1
2080792909,保密,0
494348890,男,0
1823499958,保密,0
1220403746,保密,1
291075422,男,0
25182137,女,1
2125207613,女,1
11981840,保密,0
97510412,男,1
495898783,男,0
1596623509,保密,0
1205366907,保密,0
23756147,保密,0
697926078,保密,0
620568700,男,0
545049827,女,0
2145099778,保密,0
177314519,保密,0
294026774,男,0
141477073,女,0
383193174,女,0
400320263,男,0
67484552,女,1
84511306,男,0
1066797001,保密,0
33577115,女,0
438471678,女,1
341973377,女,1
438803095,女,0
608994821,保密,0
351101771,男,1
332765658,男,0
52104462,保密,1
200936312,女,0
442185212,男,0
46258607,保密,0
636910625,保密,0
627345487,保密,0
228158697,保密,1
54738735,女,1
359203257,男,0
673352380,保密,0
18396450,保密,0
454014059,女,0
493938958,保密,0
478957990,保密,0
55950949,保密,0
522749254,保密,0
25858566,保密,0
431081395,女,1
400465920,男,0
416896681,男,0
1735375170,保密,0
510256017,女,0
437205991,保密,1
26230140,男,1
1719076163,保密,0
350640823,保密,1
591094579,女,0
170120910,男,0
25405844,保密,0
434202566,保密,0
362177402,保密,0
353480491,保密,0
120368240,女,0
636161272,保密,0
8462733,男,1
23838159,女,1
1968822051,保密,1
85949560,女,0
621547997,保密,0
392746369,女,0
698134910,保密,0
1748246282,男,1
356167837,男,1
179258806,女,1
191756216,女,1
433429923,女,0
1743796446,女,0
65606789,男,0
401400226,女,0
23234529,保密,1
630715422,保密,0
687307384,保密,0
5157558,保密,1
222283268,保密,0
387230819,女,0
488525427,男,1
430064476,女,0
3021921,女,1
471809403,女,0
677075272,保密,0
231668894,女,0
357382610,保密,1
19160638,保密,1
14915195,保密,1
195368406,女,0
248222397,保密,1
5995046,保密,0
1538003,保密,1
2545935,保密,1
11362752,女,1
242593582,保密,0
179654466,男,1
21003754,男,0
500730326,女,0
184259486,女,1
320012959,保密,0
691790379,保密,0
195368406,女,0
281930339,女,0
455266155,保密,0
244170965,保密,0
449152649,保密,0
85714236,女,1
431148622,女,0
402388313,男,0
26316564,保密,0
22510308,女,0
258869774,男,1
1965892531,保密,0
20586865,女,1
1925133771,女,1
560759661,保密,0
207036048,男,1
441898263,保密,1
87381751,女,0
448187630,保密,0
284458642,保密,0
2082282214,保密,1
22874149,保密,1
76332036,男,1
23841812,保密,1
112819892,保密,0
26503274,男,0
454167749,女,0
476159999,男,0
26829206,保密,1
454936889,男,0
7958401,男,1
2133340396,保密,0
106615510,男,0
416290088,保密,0
201486332,保密,1
10056151,保密,0
338163136,女,1
351286174,保密,0
131273461,男,0
470731490,保密,0
123633449,保密,1
1364888094,保密,0
476870889,保密,0
479163446,女,0
128694307,男,1
440971015,男,0
403411191,女,0
1972935484,男,0
1479042,男,1
13359105,保密,1
30530116,男,1
395208446,保密,0
1154745331,保密,0
674459285,保密,1
424054738,保密,0
396506584,保密,1
18055373,男,1
440305106,保密,1
353925575,保密,0
500437334,保密,1
20806643,男,0
178120693,保密,1
28084995,男,1
107955147,保密,0
13099711,保密,0
1408821999,保密,0
2034601680,保密,0
450122199,男,0
295187336,保密,1
521764263,保密,0
1673081819,女,0
451525775,保密,0
527419612,女,1
1588893185,保密,1
483779770,男,1
11611281,保密,1
263007213,保密,1
5110014,保密,1
401733376,保密,1
169346354,保密,0
354571555,保密,1
199574836,女,0
437145910,男,0
428073779,保密,1
496045234,女,0
553261731,保密,0
1381474771,保密,0
11813312,女,1
1542281372,女,0
8682482,男,0
1942852323,保密,0
29214197,保密,0
88285437,男,1
395615786,保密,0
245808576,女,0
1619853860,保密,0
28393960,女,0
647253782,保密,0
125414776,保密,1
291289018,保密,0
17488848,女,0
14688427,女,0
240388286,保密,1
294117455,女,1
282192871,保密,0
1427690406,保密,1
454461103,男,1
477243421,保密,0
687523746,保密,1
87364462,男,0
1119047005,保密,1
383282701,女,0
384108578,保密,0
12388656,保密,1
592956641,女,0
166266307,保密,1
32640333,女,1
88407633,女,0
1075648821,保密,0
1056312199,保密,0
524602659,保密,0
97172260,保密,0
319156690,男,0
162215296,男,0
18963161,保密,1
525939168,保密,0
33421877,男,1
396328848,男,0
370081893,男,0
90294906,保密,1
13303869,保密,1
36269494,男,0
31812636,保密,1
455016624,保密,0
361794867,保密,1
39147987,男,0
32336898,女,0
1253687914,保密,0
476528911,保密,0
39493910,保密,0
16060331,保密,0
440133480,保密,1
629245628,保密,1
319693874,女,0
30816027,保密,0
668661391,保密,0
493531969,保密,1
686811296,保密,0
398818397,保密,1
526114747,女,1
251390811,男,1
15790834,男,1
17970640,保密,0
70912124,女,0
42869654,保密,1
446594498,保密,0
287450955,保密,1
16533444,男,1
277770375,女,0
287450955,保密,1
16533444,男,1
277770375,女,0
617452567,保密,1
286475640,女,0
476447073,保密,1
348661174,女,1
472194706,保密,1
282536677,男,0
